date,price,volume,return_1d,return_3d,return_7d,return_14d,MA7,MA30,MA_diff,vol_7d,vol_MA7,highest_30,lowest_30,pos_channel_30
2025-02-22,91867.90813457828,40591982881.57605,-1.9350348172663345,0.5063939696455799,-1.086672421407775,-1.7037970754034681,92231.13951688202,95162.11405507785,-2930.9745381958346,1.2180834862855732,25366777010.638767,100807.15070257561,91341.52960606896,0.05560950762159508
2025-02-23,92326.33967418694,17654086229.023674,0.49901162322876225,-0.3633538256952895,-0.7233968390621626,-1.2465287590498475,92135.0320178685,94909.0095448516,-2773.977526983086,1.239949444665264,25953165524.925606,100807.15070257561,91341.52960606896,0.10404072359091454
2025-02-24,91955.06321410212,15887599947.758493,-0.4021349285534659,-1.8420005900530279,0.3211309788587524,-1.7736067333367966,92177.082152518,94647.18456044917,-2470.102407931161,1.1077845205662153,26365927199.031376,100807.15070257561,91341.52960606896,0.06481704705669973
2025-02-25,87363.06196029286,43529854554.91956,-4.993744872011607,-4.903612442863303,-4.3555956014029285,-7.592121916404782,91608.72963169286,94233.22097878068,-2624.4913470878237,2.220024608239779,29134220000.74878,100807.15070257561,87363.06196029286,0.0
2025-02-26,84371.1455747451,91963279462.02293,-3.424692677218222,-8.616386317832102,-7.695301123179565,-8.653735939465601,90603.88778072751,93779.9426178311,-3176.054837103584,2.424517437129745,37033265520.59843,100807.15070257561,84371.1455747451,0.0
2025-02-27,79980.88889487673,66041274170.92765,-5.203504883051524,-13.021767264022765,-13.68630495211508,-15.058170563957407,88792.15271506427,93192.0390633011,-4399.886348236832,2.5702560947886264,42669649159.503746,100807.15070257561,79980.88889487673,0.0
2025-02-28,81478.67683320756,78866918119.55017,1.8726822857638714,-6.73555275541945,-13.025083851057396,-11.731567980785783,87049.01204085567,92669.79485744862,-5620.782816592953,2.7395408341158882,50647856480.8255,100807.15070257561,79980.88889487673,0.07191823247785839
2025-03-01,81363.99392410876,77753895780.04224,-0.14075205140304803,-3.564194405742993,-11.433714366372882,-12.396139767018743,85548.45286793144,92065.58622528242,-6517.133357350976,2.822872469955201,55956701180.606384,100807.15070257561,79980.88889487673,0.06641158370153272
2025-03-02,82870.36470479147,29517848118.99582,1.8513972926252453,3.612707797874748,-10.241903884378956,-10.891211114481747,84197.59930087495,91467.6933586896,-7270.094057814655,3.0355080396884313,57651524307.745255,98810.37474956374,79980.88889487673,0.15345484376013907
2025-03-03,90504.07964230444,59393284606.309525,9.211634297383032,11.077011998577868,-1.5779267841068312,-1.2618630169755618,83990.31593347527,91190.81685511429,-7200.500921639017,5.090078580508185,63866622116.109695,98238.89542734591,79980.88889487673,0.5763603342300136
2025-03-04,82148.33613319772,65542774447.49896,-9.232449567059053,0.9639917748144766,-5.9690282255277065,-10.064637096093055,83245.35510103311,90690.81635407072,-7445.4612530376035,5.946789825510688,67011324957.90675,98238.89542734591,79980.88889487673,0.11871215154110651
2025-03-05,82166.1907294557,61982490114.74346,0.021734580514243262,-0.849729547883904,-2.6133992021431185,-10.107591387166991,82930.36155170605,90256.63112917906,-7326.269577473009,5.8273652990321025,62728355051.15254,98238.89542734591,79980.88889487673,0.1196900565619109
2025-03-06,83930.00317170189,47805194333.47448,2.146640152826107,-7.2638454493819555,4.937572376840804,-9.424503788000116,83494.52073410965,89779.66805399093,-6285.147319881275,5.430829023036609,60123200788.65923,94583.32997010817,79980.88889487673,0.27044206215107547
2025-03-07,83424.90851265508,44080812249.649994,-0.6018046466809923,1.553984462189817,2.3886392797364486,-10.94756684040592,83772.55383117357,89407.72067207583,-5635.166840902253,5.431323386131817,55153757092.95921,94540.70775357632,79980.88889487673,0.23654275174725298
2025-03-08,80085.80174525376,58344412992.95775,-4.002529732345817,-2.5319282368242324,-1.5709555507405604,-12.825051346619087,83589.95494848001,88981.69504659172,-5391.74009811171,5.6929576118229015,52380973837.66143,94540.70775357632,79980.88889487673,0.007205642556078044
2025-03-09,79526.42694984918,17364632609.425117,-0.69846937061816,-5.2467247175530085,-4.035143041610089,-13.86377145407014,83112.24955491684,88531.00419878091,-5418.754643864071,5.629519170426286,50644800193.437035,94540.70775357632,79526.42694984918,0.0
2025-03-10,74356.456240904,29478264600.33096,-6.500946801250684,-10.870197442740325,-17.841873499205818,-19.138268582582217,80805.44621185961,87894.21001746056,-7088.7638056009455,4.043983973097065,46371225906.86867,94540.70775357632,74356.456240904,0.0
2025-03-11,72665.18583424798,46101709267.5384,-2.2745441245566433,-9.265832081709235,-11.543934722638182,-16.82390222623512,79450.71045486678,87199.99150811828,-7749.2810532514995,2.8475406733021167,43593930881.16002,94540.70775357632,72665.18583424798,0.0
2025-03-12,75856.73401738856,51675173731.16644,4.392128288807551,-4.614432048826734,-7.678896461005424,-10.091615444303226,78549.35949600006,86608.03488088812,-8058.675384888062,3.6534082522096334,42121457112.07759,94540.70775357632,72665.18583424798,0.14589586456086576
2025-03-13,77065.46321665138,38385795856.06682,1.5934369109349422,3.643270689192879,-8.17888680524318,-3.6451528840311553,77568.71093099285,86025.52672965729,-8456.815798664436,3.577241169547435,40775828758.16222,94159.60243133068,72665.18583424798,0.20471722796145186
2025-03-14,74718.5256245086,30020111086.352417,-3.0453818016313083,2.8257545435091513,-10.43619111290457,-8.296834793399322,76324.94194697193,85437.34124951687,-9112.399302544945,3.6329289885996627,38767157163.40541,94159.60243133068,72665.18583424798,0.09552898451495118
2025-03-15,76880.29832202969,26158622130.49084,2.8932218341471083,1.3493387474426521,-4.002586417777909,-5.510663115015202,75867.01288651135,84861.3644458735,-8994.351559362156,3.7750332764969743,34169187040.195854,93680.66155266784,72665.18583424798,0.20057183307476603
2025-03-16,77306.5864689375,9858289533.443966,0.5544829510444993,0.3128810782701219,-2.7913243006775,-6.7138334140000255,75549.89281780968,84361.32289433989,-8811.430076530203,3.7948177053653036,33096852315.05569,93680.66155266784,72665.18583424798,0.2208563202126982
2025-03-17,75910.64859205775,19883122353.577938,-1.8057166156736804,1.5954851324824881,2.0901915310735264,-16.12461129699755,75771.92029654593,83795.77188665429,-8023.851590108359,2.812347622268208,31726117708.376686,93680.66155266784,72665.18583424798,0.1544320386221453
2025-03-18,76998.99430074666,18004696367.719547,1.4337194173345225,0.15439063233053663,5.964078143809148,-6.26834586655749,76391.03579176003,83262.43529110313,-6871.399499343097,2.579676830353921,27712258722.688282,93680.66155266784,72665.18583424798,0.2062198602861101
2025-03-19,75664.50740632173,22446675201.252983,-1.7331224992532035,-2.124112753672769,-0.2534074443842571,-7.912845010110936,76363.57484732191,82729.228462262,-6365.653614940093,2.1912608388435704,23536758932.700645,93680.66155266784,72665.18583424798,0.14271966108503908
2025-03-20,79563.22640741953,31041751010.551956,5.1526391101200275,4.811680420477837,3.2410928144897877,-5.202879303303398,76720.39816028878,82336.61835564036,-5616.220195351576,2.9189581391491943,22487609669.055664,93680.66155266784,72665.18583424798,0.32823623246013317
2025-03-21,77616.22788391747,25401286677.84479,-2.4471085593387842,0.8016125259506346,3.8781577061236527,-6.962765356651801,77134.35562591862,81876.99133405418,-4742.635708135567,2.80461100002318,21827777610.69743,93680.66155266784,72665.18583424798,0.23559029145982868
2025-03-22,77238.36456464554,16632869974.859978,-0.4868354589932622,2.0800467911224585,0.4657451264249879,-3.5554831425246625,77185.5079462923,81362.83567439172,-4177.3277280994225,2.62483682816136,20466955874.178738,93680.66155266784,72665.18583424798,0.2176100504062924
2025-03-23,77054.9020489095,7146203344.261898,-0.23752770630259823,-3.152617700123983,-0.32556659338351945,-3.1078032746250095,77149.55302914546,80808.64369093311,-3659.0906617876462,2.618814644537435,20079514990.00987,92326.33967418694,72665.18583424798,0.22326849433141638
2025-03-24,79173.13362279187,11644721061.658821,2.7489900286134183,2.0059023497030815,4.297796279236965,6.477819984161903,77615.62231925034,80385.48454054024,-2769.8622212899063,2.6659319016382765,18902600519.73571,92326.33967418694,72665.18583424798,0.33100538460382084
2025-03-25,80835.78627103886,25243571884.83596,2.1000212725802214,4.657558101689752,4.9829117966219805,11.244174693818753,78163.7354578635,80002.46609376864,-1838.7306359051436,2.710804967397188,19936725593.609486,91955.06321410212,72665.18583424798,0.42356932995976665
